subject,walkspeed,stridefreq
1,0.7,0.7043025086224179
1,0.9,0.8564666308556566
1,1.1,0.9770957337930707
1,1.6,1.1189322112791669
1,1.8,1.196099949988072
1,2.0,1.2967064878375372
1,1.4,1.0839655796766878
2,0.7,0.9597494520735949
2,0.9,1.0841614180831347
2,1.1,1.170894331529786
2,1.6,1.427919916499736
2,1.8,1.5088844478476593
2,2.0,1.608371334518935
2,1.4,1.3305617403747592
3,0.7,0.6903460971055669
3,0.9,0.8098290754507623
3,1.1,0.8773148317383263
3,1.6,0.971794890540917
3,1.8,1.0188172239541853
3,2.0,1.0706214895789685
3,1.4,0.9717948905409185
4,0.7,0.7905845823282976
4,0.9,0.8161623188153876
4,1.1,1.0432149939745607
4,1.6,1.1562299516551346
4,1.8,1.2278548159169578
4,2.0,1.3214056590344418
4,1.4,1.1372753622837386
5,0.7,0.8273017783263458
5,0.9,0.9817314436139306
5,1.1,1.090812715126586
5,1.6,1.280519274279041
5,1.8,1.280519274279041
5,2.0,1.3635158939082348
5,1.4,1.2271643045174074
6,0.7,0.79979121006133
6,0.9,0.8197859903128626
6,1.1,0.8983956058223171
6,1.6,1.1115742241530273
6,1.8,1.1405718126092046
6,2.0,1.2144977634264604
6,1.4,1.0012653316798337
7,0.7,0.6256244636369968
7,0.9,0.688356455925799
7,1.1,0.774401012916524
7,1.6,0.9845098148706223
7,1.8,1.0325346838886995
7,2.0,1.0948428113647455
7,1.4,0.9694791306741184
8,0.7,0.7863500015187742
8,0.9,0.7959984677950777
8,1.1,0.9334370521625726
8,1.6,1.1089551303469896
8,1.8,1.1482101792088306
8,2.0,1.247574521640365
8,1.4,1.0297440496079235
9,0.7,0.672569525522167
9,0.9,0.7885976015625407
9,1.1,0.8871723017578579
9,1.6,1.013911202008983
9,1.8,1.1331948728335668
9,2.0,1.214866575380129
9,1.4,1.0215923474787445
10,0.7,0.815330631669858
10,0.9,0.9678763627564753
10,1.1,1.071577401623236
10,1.6,1.3159722476074898
10,1.8,1.3763379470390291
10,2.0,1.4425080406466722
10,1.4,1.2501736352271164
